--- Step 1 ---
Avg Knowledge: 32.94, Avg ZPD Size: 15.27, Avg Happiness: 3.72
Agent 22: K=38.24, P=63.32, H=5.03
Agent 20: K=42.64, P=62.34, H=3.89
Agent 17: K=28.70, P=49.91, H=6.37
Agent 24: K=31.02, P=42.73, H=1.15
Agent 14: K=27.66, P=49.45, H=0.84
Agent 12: K=47.14, P=67.53, H=1.60
Agent 8: K=24.67, P=38.65, H=0.29
Agent 1: K=49.10, P=60.35, H=6.14
Agent 4: K=34.05, P=38.34, H=1.89
Agent 10: K=27.00, P=45.48, H=3.82
Agent 13: K=39.21, P=46.53, H=3.00
Agent 25: K=18.77, P=19.24, H=1.05
Agent 3: K=14.96, P=19.74, H=5.26
Agent 2: K=46.44, P=51.25, H=5.44
Agent 15: K=34.60, P=42.21, H=0.47
Agent 16: K=34.86, P=57.49, H=3.19
Agent 18: K=50.03, P=63.47, H=3.44
Agent 23: K=38.42, P=60.30, H=6.70
Agent 7: K=14.15, P=35.13, H=5.22
Agent 21: K=35.27, P=55.02, H=1.86
Agent 19: K=23.50, P=55.69, H=5.29
Agent 6: K=45.99, P=59.53, H=5.50
Agent 9: K=34.42, P=45.00, H=4.34
Agent 11: K=23.19, P=34.37, H=6.03
Agent 5: K=19.42, P=42.22, H=5.29

--- Step 2 ---
Avg Knowledge: 35.49, Avg ZPD Size: 12.73, Avg Happiness: 5.15
Agent 2: K=46.84, P=51.26, H=10.44
Agent 13: K=40.86, P=46.54, H=6.00
Agent 20: K=47.36, P=62.35, H=5.89
Agent 10: K=31.43, P=45.49, H=4.82
Agent 23: K=43.66, P=60.31, H=7.70
Agent 3: K=15.51, P=19.75, H=6.26
Agent 17: K=31.16, P=49.92, H=7.37
Agent 18: K=50.35, P=63.48, H=7.39
Agent 22: K=44.07, P=63.33, H=6.03
Agent 25: K=18.82, P=19.25, H=1.00
Agent 24: K=31.30, P=42.74, H=1.10
Agent 19: K=30.99, P=55.70, H=7.29
Agent 4: K=34.18, P=38.35, H=1.84
Agent 7: K=16.75, P=35.14, H=6.22
Agent 15: K=34.80, P=42.22, H=1.42
Agent 1: K=51.72, P=60.36, H=8.14
Agent 8: K=25.00, P=38.66, H=0.24
Agent 21: K=37.31, P=55.03, H=4.86
Agent 11: K=25.26, P=34.38, H=7.03
Agent 5: K=25.04, P=42.23, H=6.29
Agent 16: K=40.28, P=57.50, H=4.19
Agent 14: K=28.14, P=49.46, H=0.79
Agent 6: K=48.22, P=59.54, H=7.50
Agent 12: K=51.88, P=67.54, H=3.60
Agent 9: K=36.37, P=45.01, H=5.34

--- Step 3 ---
Avg Knowledge: 36.99, Avg ZPD Size: 11.24, Avg Happiness: 6.49
Agent 17: K=32.78, P=49.93, H=8.37
Agent 11: K=26.73, P=34.39, H=8.03
Agent 24: K=31.58, P=42.75, H=1.05
Agent 18: K=51.44, P=63.49, H=9.39
Agent 9: K=37.97, P=45.02, H=7.34
Agent 19: K=34.97, P=55.71, H=8.29
Agent 5: K=26.81, P=42.24, H=7.29
Agent 12: K=52.24, P=67.55, H=6.55
Agent 4: K=34.32, P=38.36, H=1.79
Agent 13: K=42.14, P=46.55, H=8.00
Agent 15: K=35.00, P=42.23, H=1.37
Agent 7: K=18.34, P=35.15, H=7.22
Agent 14: K=28.62, P=49.47, H=0.74
Agent 3: K=16.53, P=19.76, H=7.26
Agent 16: K=41.77, P=57.51, H=8.19
Agent 10: K=33.70, P=45.50, H=5.82
Agent 1: K=52.44, P=60.37, H=12.14
Agent 2: K=47.30, P=51.27, H=11.00
Agent 21: K=40.88, P=55.04, H=5.86
Agent 6: K=50.77, P=59.55, H=10.50
Agent 8: K=25.33, P=38.67, H=0.19
Agent 25: K=18.88, P=19.26, H=0.95
Agent 20: K=50.84, P=62.36, H=6.89
Agent 22: K=48.42, P=63.34, H=7.03
Agent 23: K=45.04, P=60.32, H=11.00

--- Step 4 ---
Avg Knowledge: 38.50, Avg ZPD Size: 9.74, Avg Happiness: 7.77
Agent 16: K=44.12, P=57.52, H=11.19
Agent 5: K=28.60, P=42.25, H=8.29
Agent 6: K=51.50, P=59.56, H=14.00
Agent 20: K=52.03, P=62.37, H=10.89
Agent 23: K=47.31, P=60.33, H=12.00
Agent 11: K=28.46, P=34.40, H=9.03
Agent 1: K=52.64, P=60.38, H=11.95
Agent 14: K=29.09, P=49.48, H=0.69
Agent 21: K=43.17, P=55.05, H=7.86
Agent 2: K=47.96, P=51.28, H=11.00
Agent 22: K=50.88, P=63.35, H=10.03
Agent 15: K=35.20, P=42.24, H=1.32
Agent 24: K=31.85, P=42.76, H=1.00
Agent 7: K=22.13, P=35.16, H=8.22
Agent 10: K=36.60, P=45.51, H=6.82
Agent 8: K=25.64, P=38.68, H=0.14
Agent 18: K=54.16, P=63.50, H=11.39
Agent 3: K=17.33, P=19.77, H=8.26
Agent 13: K=42.87, P=46.56, H=9.00
Agent 17: K=34.56, P=49.94, H=9.37
Agent 9: K=38.58, P=45.03, H=8.34
Agent 19: K=38.32, P=55.72, H=9.29
Agent 4: K=34.74, P=38.37, H=4.79
Agent 12: K=55.80, P=67.56, H=8.55
Agent 25: K=18.94, P=19.27, H=0.90

--- Step 5 ---
Avg Knowledge: 39.67, Avg ZPD Size: 8.58, Avg Happiness: 8.66
Agent 2: K=48.51, P=51.29, H=13.00
Agent 12: K=56.09, P=67.57, H=13.50
Agent 5: K=31.96, P=42.26, H=9.29
Agent 18: K=54.93, P=63.51, H=11.00
Agent 24: K=32.12, P=42.77, H=0.95
Agent 17: K=35.89, P=49.95, H=10.37
Agent 20: K=52.89, P=62.38, H=12.00
Agent 25: K=19.00, P=19.28, H=0.85
Agent 1: K=53.28, P=60.39, H=14.00
Agent 3: K=17.91, P=19.78, H=9.26
Agent 8: K=25.95, P=38.69, H=0.09
Agent 10: K=38.07, P=45.52, H=8.82
Agent 11: K=29.78, P=34.41, H=10.03
Agent 4: K=35.16, P=38.38, H=6.79
Agent 16: K=47.14, P=57.53, H=12.00
Agent 19: K=40.12, P=55.73, H=10.29
Agent 13: K=43.30, P=46.57, H=10.00
Agent 9: K=40.03, P=45.04, H=9.34
Agent 15: K=35.39, P=42.25, H=1.27
Agent 6: K=52.17, P=59.57, H=11.00
Agent 23: K=50.43, P=60.34, H=11.00
Agent 14: K=29.54, P=49.49, H=0.64
Agent 21: K=44.15, P=55.06, H=10.86
Agent 22: K=53.69, P=63.36, H=11.00
Agent 7: K=24.23, P=35.17, H=9.22

--- Step 6 ---
Avg Knowledge: 40.63, Avg ZPD Size: 7.63, Avg Happiness: 9.09
Agent 10: K=39.86, P=45.53, H=10.82
Agent 21: K=45.05, P=55.07, H=11.00
Agent 20: K=53.67, P=62.39, H=14.00
Agent 19: K=41.47, P=55.74, H=11.00
Agent 8: K=26.26, P=38.70, H=0.04
Agent 25: K=19.05, P=19.29, H=0.80
Agent 14: K=29.99, P=49.50, H=0.59
Agent 12: K=56.37, P=67.58, H=13.95
Agent 11: K=30.84, P=34.42, H=11.00
Agent 24: K=32.38, P=42.78, H=1.90
Agent 4: K=35.91, P=38.39, H=7.79
Agent 6: K=52.78, P=59.58, H=12.00
Agent 22: K=54.49, P=63.37, H=12.00
Agent 18: K=55.64, P=63.52, H=12.00
Agent 13: K=43.84, P=46.58, H=11.00
Agent 16: K=49.56, P=57.54, H=11.00
Agent 3: K=18.34, P=19.79, H=10.26
Agent 17: K=38.20, P=49.96, H=11.00
Agent 15: K=35.57, P=42.26, H=1.22
Agent 23: K=51.45, P=60.35, H=11.00
Agent 9: K=40.86, P=45.05, H=10.34
Agent 1: K=54.34, P=60.40, H=11.00
Agent 5: K=34.25, P=42.27, H=10.29
Agent 7: K=26.85, P=35.18, H=10.22
Agent 2: K=48.74, P=51.30, H=11.00

--- Step 7 ---
Avg Knowledge: 41.56, Avg ZPD Size: 6.71, Avg Happiness: 9.16
Agent 18: K=56.29, P=63.53, H=14.00
Agent 17: K=40.86, P=49.97, H=11.00
Agent 21: K=47.38, P=55.08, H=12.00
Agent 4: K=36.53, P=38.40, H=8.79
Agent 14: K=30.43, P=49.51, H=1.54
Agent 15: K=35.76, P=42.27, H=1.17
Agent 22: K=56.56, P=63.38, H=12.00
Agent 7: K=28.20, P=35.19, H=11.00
Agent 11: K=31.15, P=34.43, H=11.00
Agent 9: K=41.35, P=45.06, H=11.00
Agent 19: K=43.77, P=55.75, H=11.00
Agent 5: K=35.73, P=42.28, H=11.00
Agent 10: K=41.18, P=45.54, H=11.00
Agent 6: K=53.34, P=59.59, H=12.00
Agent 2: K=49.15, P=51.31, H=11.00
Agent 13: K=44.08, P=46.59, H=11.00
Agent 12: K=56.64, P=67.59, H=10.95
Agent 8: K=26.56, P=38.71, H=0.00
Agent 3: K=18.64, P=19.80, H=11.00
Agent 23: K=53.46, P=60.36, H=11.00
Agent 25: K=19.11, P=19.30, H=0.75
Agent 16: K=50.38, P=57.55, H=11.00
Agent 20: K=54.97, P=62.40, H=11.00
Agent 24: K=32.64, P=42.79, H=1.85
Agent 1: K=54.85, P=60.41, H=11.00

--- Step 8 ---
Avg Knowledge: 42.24, Avg ZPD Size: 6.04, Avg Happiness: 9.35
Agent 4: K=36.84, P=38.41, H=9.79
Agent 9: K=42.18, P=45.07, H=11.00
Agent 24: K=32.89, P=42.80, H=1.80
Agent 10: K=41.99, P=45.55, H=11.00
Agent 12: K=56.91, P=67.60, H=14.95
Agent 19: K=45.01, P=55.76, H=11.00
Agent 1: K=55.31, P=60.42, H=12.00
Agent 17: K=42.98, P=49.98, H=11.00
Agent 16: K=50.97, P=57.56, H=11.00
Agent 3: K=18.74, P=19.81, H=11.00
Agent 25: K=19.16, P=19.31, H=1.70
Agent 5: K=37.30, P=42.29, H=12.00
Agent 23: K=54.49, P=60.37, H=11.00
